1691831030556|1|statement|connection 1|url jdbc:p6spy:mysql://root@localhost:3306/erpplussd?useUnicode=true&characterEncoding=utf8&useSSL=false&serverTimezone=Hongkong&rewriteBatchedStatements=true&allowPublicKeyRetrieval=true|(select invoice_id          from sales_order          where sold_to_party in (select customer_id from customer              WHERE sales_org = ?                                                      ))|(select invoice_id          from sales_order          where sold_to_party in (select customer_id from customer              WHERE sales_org = '腾讯'                                                      ))
1691831030558|0|statement|connection 1|url jdbc:p6spy:mysql://root@localhost:3306/erpplussd?useUnicode=true&characterEncoding=utf8&useSSL=false&serverTimezone=Hongkong&rewriteBatchedStatements=true&allowPublicKeyRetrieval=true|SELECT invoice_id,customer_name,billing_date,ship_to_party,sold_to_party,net_value,currency,order_id FROM invoice WHERE invoice_id=? |SELECT invoice_id,customer_name,billing_date,ship_to_party,sold_to_party,net_value,currency,order_id FROM invoice WHERE invoice_id=9 
1691831030560|0|statement|connection 1|url jdbc:p6spy:mysql://root@localhost:3306/erpplussd?useUnicode=true&characterEncoding=utf8&useSSL=false&serverTimezone=Hongkong&rewriteBatchedStatements=true&allowPublicKeyRetrieval=true|SELECT customer_id,title,name,postal_code,city,country,language,reconciliation_acct,sort_key,payment_terms,sales_org,distr_channel,division,sales_district,currency,price_group,customer_stats_group,delivery_priority,shipping_conditions,delivering_plant,max_part_deliviries,incoterms,incoterms_loctaion,acct_assmt_grp_cust,tax_classific,bp_id FROM customer WHERE customer_id=? |SELECT customer_id,title,name,postal_code,city,country,language,reconciliation_acct,sort_key,payment_terms,sales_org,distr_channel,division,sales_district,currency,price_group,customer_stats_group,delivery_priority,shipping_conditions,delivering_plant,max_part_deliviries,incoterms,incoterms_loctaion,acct_assmt_grp_cust,tax_classific,bp_id FROM customer WHERE customer_id=2 
1691831030561|0|statement|connection 1|url jdbc:p6spy:mysql://root@localhost:3306/erpplussd?useUnicode=true&characterEncoding=utf8&useSSL=false&serverTimezone=Hongkong&rewriteBatchedStatements=true&allowPublicKeyRetrieval=true|SELECT invoice_id,customer_name,billing_date,ship_to_party,sold_to_party,net_value,currency,order_id FROM invoice WHERE invoice_id=? |SELECT invoice_id,customer_name,billing_date,ship_to_party,sold_to_party,net_value,currency,order_id FROM invoice WHERE invoice_id=10 
1691831030562|0|statement|connection 1|url jdbc:p6spy:mysql://root@localhost:3306/erpplussd?useUnicode=true&characterEncoding=utf8&useSSL=false&serverTimezone=Hongkong&rewriteBatchedStatements=true&allowPublicKeyRetrieval=true|SELECT customer_id,title,name,postal_code,city,country,language,reconciliation_acct,sort_key,payment_terms,sales_org,distr_channel,division,sales_district,currency,price_group,customer_stats_group,delivery_priority,shipping_conditions,delivering_plant,max_part_deliviries,incoterms,incoterms_loctaion,acct_assmt_grp_cust,tax_classific,bp_id FROM customer WHERE customer_id=? |SELECT customer_id,title,name,postal_code,city,country,language,reconciliation_acct,sort_key,payment_terms,sales_org,distr_channel,division,sales_district,currency,price_group,customer_stats_group,delivery_priority,shipping_conditions,delivering_plant,max_part_deliviries,incoterms,incoterms_loctaion,acct_assmt_grp_cust,tax_classific,bp_id FROM customer WHERE customer_id=2 
1691831032109|0|statement|connection 1|url jdbc:p6spy:mysql://root@localhost:3306/erpplussd?useUnicode=true&characterEncoding=utf8&useSSL=false&serverTimezone=Hongkong&rewriteBatchedStatements=true&allowPublicKeyRetrieval=true|SELECT invoice_id,customer_name,billing_date,ship_to_party,sold_to_party,net_value,currency,order_id FROM invoice WHERE invoice_id=? |SELECT invoice_id,customer_name,billing_date,ship_to_party,sold_to_party,net_value,currency,order_id FROM invoice WHERE invoice_id=10 
1691831032124|0|statement|connection 1|url jdbc:p6spy:mysql://root@localhost:3306/erpplussd?useUnicode=true&characterEncoding=utf8&useSSL=false&serverTimezone=Hongkong&rewriteBatchedStatements=true&allowPublicKeyRetrieval=true|SELECT  detail_id,quantity,expected_probability,net_value,inquiry_id,quotation_id,order_id,discount_id,material_id  FROM details     WHERE (order_id = ?)|SELECT  detail_id,quantity,expected_probability,net_value,inquiry_id,quotation_id,order_id,discount_id,material_id  FROM details     WHERE (order_id = 3)
1691831032126|0|statement|connection 1|url jdbc:p6spy:mysql://root@localhost:3306/erpplussd?useUnicode=true&characterEncoding=utf8&useSSL=false&serverTimezone=Hongkong&rewriteBatchedStatements=true&allowPublicKeyRetrieval=true|SELECT material_id,name,price,net_weight,gross_weight FROM material WHERE material_id=? |SELECT material_id,name,price,net_weight,gross_weight FROM material WHERE material_id=3 
1691831032127|0|statement|connection 1|url jdbc:p6spy:mysql://root@localhost:3306/erpplussd?useUnicode=true&characterEncoding=utf8&useSSL=false&serverTimezone=Hongkong&rewriteBatchedStatements=true&allowPublicKeyRetrieval=true|SELECT order_id,ship_to_party,sold_to_party,valid_from,valid_to,req_deliv_date,net_value,currency,quotation_id,invoice_id,receipt_id FROM sales_order WHERE order_id=? |SELECT order_id,ship_to_party,sold_to_party,valid_from,valid_to,req_deliv_date,net_value,currency,quotation_id,invoice_id,receipt_id FROM sales_order WHERE order_id=3 
1691831032132|0|statement|connection 1|url jdbc:p6spy:mysql://root@localhost:3306/erpplussd?useUnicode=true&characterEncoding=utf8&useSSL=false&serverTimezone=Hongkong&rewriteBatchedStatements=true&allowPublicKeyRetrieval=true|SELECT customer_id,title,name,postal_code,city,country,language,reconciliation_acct,sort_key,payment_terms,sales_org,distr_channel,division,sales_district,currency,price_group,customer_stats_group,delivery_priority,shipping_conditions,delivering_plant,max_part_deliviries,incoterms,incoterms_loctaion,acct_assmt_grp_cust,tax_classific,bp_id FROM customer WHERE customer_id=? |SELECT customer_id,title,name,postal_code,city,country,language,reconciliation_acct,sort_key,payment_terms,sales_org,distr_channel,division,sales_district,currency,price_group,customer_stats_group,delivery_priority,shipping_conditions,delivering_plant,max_part_deliviries,incoterms,incoterms_loctaion,acct_assmt_grp_cust,tax_classific,bp_id FROM customer WHERE customer_id=2 
